bfia,bfiae,bfiaa,bfiac,bfian,bfiao,wallposts,portraits,imp_avs,friends,likes_portrait,sex,age,selfesteem
3.33,4.2,4,4.44,1.88,3.8,28,13,0,406,16,2,20,3.4
3,4.4,3.22,4.78,1.38,4.7,1,2,0,79,5,1,18,3.6
3.56,3.8,4.33,4.56,1.75,4,0,3,0,163,24,2,18,2.7
3.44,4.4,4.22,4.44,1.25,3.4,26,6,1,94,17,2,19,3.1
3.44,4,3.56,4.33,1.88,4,14,4,1,241,12,1,20,2.8
3.33,4.2,3.56,4.44,2.5,4.7,16,22,0,561,67,2,19,3
3.67,4.6,4.67,4.78,1.5,4.5,66,3,2,308,37,2,19,3.3
2.56,4.4,4.33,4.33,1.75,4,28,15,0,242,25,2,19,2.8
3.56,3.8,3.89,4,1.75,3.9,48,2,0,136,47,2,21,3
3.11,3.4,3.33,4.67,1.88,2.3,0,1,0,56,12,1,18,3.1
3.22,4.2,4.22,4.22,1.38,4.5,83,33,0,419,24,2,19,3.8
2.67,4.2,3,3.78,2.25,3.6,177,29,0,407,23,2,20,3.1
3.67,4.2,4.44,4.78,1.88,4.1,3,5,0,129,35,2,18,1.9
3.22,4.4,3.89,4.11,1.5,3.9,38,2,4,151,19,2,20,2.9
3.44,4,4.56,4.89,1,4.6,18,3,0,138,21,2,19,2.9
3.56,4,3.33,4,2.13,3.5,13,1,2,147,9,1,21,2.8
4,4.8,3.89,4,1.88,4.6,6,5,0,403,19,1,19,3.3
3,4.6,4.22,4.78,1.88,4.1,24,6,5,310,22,2,20,3.5
3.22,4.2,4.56,4,1.88,4.8,32,2,3,581,74,2,21,2.5
2.89,3.6,4,4.33,1.88,4,5,6,0,126,13,2,20,2.6
3.44,4,3.67,4.78,2.38,3.7,28,15,1,185,7,2,20,3.7
4.56,3.8,4.67,4.67,1.75,4.6,25,15,0,584,64,2,21,2.8
3.89,4.2,4.11,4.44,2,4,62,16,0,1037,92,2,20,3.4
2.33,4.2,3.22,4.89,1.63,3.7,127,4,4,687,22,1,21,3.5
4.22,4,4.11,4.33,2.13,4.3,118,49,8,743,58,2,18,3.3
3.78,4.2,4.22,4.89,1,4,8,3,0,259,31,1,20,4
4.44,5,4.22,4.78,1.5,4.3,83,9,0,252,14,1,19,4
3.11,4.4,3.78,4,2.5,4.5,0,8,0,209,15,2,19,2.7
3,3.4,3.67,4.11,1.88,4,4,12,3,148,31,2,20,2.9
3.11,3.8,3.67,4.11,1.88,3.9,73,9,1,80,3,1,28,2.4
3.22,3.4,3.33,4.56,1.63,4.1,22,1,2,137,1,1,19,2.9
3.44,4.4,4,4.67,2.13,4.8,112,4,0,328,43,2,18,2.8
4,4.6,4.44,4.67,1.5,4.7,37,4,4,267,29,2,20,2.7
3.22,4.8,4.33,4.89,1.5,4.8,218,10,0,449,40,2,18,3.3
3.33,3.8,3.22,4,2.38,3.8,3,2,1,76,21,2,22,3
3.56,4.2,4.33,4.89,1.5,4.5,30,2,0,243,71,1,21,2.8
3.44,4.6,3.78,4.78,1.25,4.4,6,20,1,213,36,2,21,2.8
3.56,4,3.44,4.56,1.75,4.7,15,2,3,70,7,2,18,3.1
3.56,3.8,3.44,4.78,1.25,3.8,5,13,18,206,15,2,20,3.4
4.11,4.6,4.44,4.11,1.88,4.3,0,4,0,21,4,2,21,3.5
4.11,3.8,4.11,4.78,1.38,4.9,10,4,4,168,26,1,20,3.5
2.67,3.6,3.89,3.56,1.13,4.4,17,1,1,79,15,2,21,3.1
3.56,4.2,3.89,4.89,1.25,4.2,0,6,0,237,26,1,18,3.4
4.22,4,4,4.33,2.13,4.4,48,1,0,376,39,2,21,3
3.33,4,3.56,4.56,3.75,3.9,9,9,1,241,34,2,19,3.3
3.33,4.8,4.22,4.56,1.38,4.8,39,25,1,223,30,2,19,3.3
4.89,4,4.56,4.78,1.38,4.4,25,4,0,72,10,2,21,3.2
3.56,4.6,4,4.22,1.63,4.3,24,5,1,184,26,2,18,2.9
3.44,4.6,4,4,1.63,4.6,73,5,1,117,38,2,17,3.1
3.89,3.8,4,3.67,2.5,4,37,16,0,401,52,2,19,3.2
3.89,3.4,3.89,4.67,1.88,3.8,21,10,3,36,5,1,19,2.7
2.78,4.6,3.56,4.11,2.13,4.8,46,22,7,70,11,2,19,3.1
4.11,4.6,4.56,4.67,1.63,4.9,11,29,0,181,12,2,20,3.7
3.89,4.4,4,3.89,1.25,4.5,38,13,1,177,34,2,18,3.1
3.22,4.2,4.44,4.67,1.38,4.1,3,9,0,139,23,2,18,3.1
2.78,4.8,2.67,4.22,1,4.2,22,23,2,352,18,2,21,4
2.89,4.2,3.89,4.11,1.25,4.3,12,8,0,133,8,2,21,2.1
4.11,4.8,4.78,4.89,1.88,4.8,50,10,0,189,26,2,20,2.8
2.33,3.2,4,4.22,2,3.6,1,4,0,420,28,2,20,1.7
4.22,4.2,4.56,4.56,1.75,4.4,32,2,0,470,60,2,18,2.7
4.44,4,4,3.67,1.75,4.4,14,11,0,329,48,2,19,2.6
4.44,3.6,4.56,4,1.38,4.9,86,8,0,191,19,2,17,3.1
2.11,4.8,3.67,4.56,1.75,4,16,17,0,311,35,2,22,3.7
3.44,4.8,3.33,5,1.5,4.5,14,13,0,360,45,2,22,3.6
3.56,3.8,3.89,4.33,1.63,4,14,7,0,99,19,2,20,3.8
2.67,3.6,3.89,4.89,1.5,4.8,41,7,0,200,61,2,19,3.1
2.89,4.2,3.78,5,1.75,3.6,309,2,1,242,49,1,19,2.6
3.44,4.2,4.33,4.89,1.63,4.1,7,1,0,263,25,2,19,3.2
3.56,4.6,4.11,4.78,2.25,4.6,15,13,0,278,30,2,18,3
4,4.8,4.78,4.67,1.25,5,22,3,0,111,8,1,18,3.1
4.22,5,4.67,4.44,1.88,4.7,4,1,0,188,61,2,18,3.2
2.89,4.2,3.33,3.78,2,3.7,7,1,0,240,10,2,20,2.6
3.33,3.8,3.67,3.78,2,4.3,423,20,4,299,34,2,20,2.5
2.89,3.8,3.89,4.78,2,4.1,0,1,3,18,21,2,17,2.7
3.67,4.6,4,4.33,2.13,4.2,0,1,0,118,8,1,21,2.4
3.78,4.4,4.56,4.78,1.75,4.5,25,5,0,206,31,2,20,3.4
3.56,4.4,3.78,4.44,1.75,3.8,4,11,1,104,14,2,18,3.5
3.22,5,3.89,4.11,1.88,3.5,0,8,2,134,19,2,19,2.9
3.78,3.6,4.11,4.33,2.13,3.7,0,1,0,47,0,1,22,3.3
3.78,4.2,3.44,4.22,1.63,4.2,30,8,2,575,55,2,20,3.2
4.78,4.4,4.56,4.78,1.25,4.7,0,2,0,180,51,2,19,3.4
3.89,4.4,4.22,4.67,2.13,4.1,57,23,2,239,29,2,20,3.2
3.56,4.4,3.78,4.44,1.5,3.7,0,2,0,110,5,1,20,3.3
4.44,4.4,4.78,4.89,1.5,4.6,887,50,0,207,52,2,18,2.7
3.89,3.8,3.67,4.56,1.5,3.9,56,9,1,315,11,1,24,3.5
3.56,4.8,3.56,3.89,1.5,4.3,45,17,1,314,27,2,18,3.1
3.22,3.4,3.89,4.11,1.63,3.6,78,1,0,337,40,1,18,2.6
2.67,4.8,4.56,4.89,1.13,4.8,3,4,0,197,40,2,21,3
2.78,4.6,3.56,4.44,1.63,3.8,49,3,3,375,34,1,21,3.4
4,3.8,3.78,3.89,2.13,4.2,10,11,5,523,84,2,20,2.7
3.78,4.4,4.44,4.33,1.88,3.4,42,5,0,308,37,2,20,3.9
2.56,4.6,3.44,4.44,1.25,4.4,317,6,0,376,29,2,20,3.7
4.33,4,4.33,4.56,1.88,4.5,58,4,2,156,17,1,20,3
3.78,4.6,3.89,4.78,1.13,3.8,38,7,0,292,38,2,19,3.3
2.67,5,2.89,4.56,2.38,4,88,18,3,345,43,2,20,3.3
3.33,4.4,4.56,4.67,1.25,4.3,3,2,4,554,33,2,23,3
2.22,3.8,3.22,4.56,2.5,3.2,120,2,0,76,19,2,19,2.8
4.78,4.6,4.56,4.56,2.13,4.6,0,13,0,257,19,2,21,2.8
3.22,4.6,4.33,4.11,1.38,3.9,73,7,0,445,94,2,19,3.4
4.44,4.6,4.56,4.89,2,4.4,49,9,0,145,14,2,18,3.7
3.44,4.2,3.44,4,1.38,3.8,29,1,0,81,0,1,21,2.4
3.89,4,4.44,4.78,1.63,4,73,6,4,119,16,1,19,3.2
2.33,3.8,3.67,4.33,2,3.9,22,10,2,175,10,2,19,3.4
2.67,4.2,4.22,4.89,1.25,4.8,510,3,32,79,8,1,21,3.8
4.44,4.2,4.33,4.78,1.5,4.6,71,44,2,98,19,2,19,3.5
3,4.4,3.67,4.67,2.13,4.2,30,6,2,370,66,2,20,2.8
4,4.4,3.44,4.67,1.75,4,40,9,2,149,14,1,19,2.7
4.11,4.6,3.56,4.89,1.75,4.8,24,2,0,443,89,2,22,3.8
3.11,4.2,4.11,4.56,2,4.1,27,2,0,396,34,2,18,3.4
3.44,3.8,4.44,4.67,1.88,4.4,49,16,9,686,25,2,21,2.4
2.44,4.2,3.44,4.56,2.38,4.2,2,13,0,497,64,2,18,2.9
3,3.8,3.78,4.67,1.5,4.2,12,7,4,118,12,1,21,3.2
3.44,3.6,4.22,4.67,1.75,3.4,5,7,0,115,12,1,19,3.7
3.22,4.2,3.67,4.67,2,4.4,27,21,1,182,31,2,18,2.8
3.56,4.6,4,4.67,1.38,4.5,8,12,0,145,14,2,22,2.8
3.33,4.4,4.44,4.33,1.5,4.9,28,26,11,155,11,2,22,2.3
3.78,4.2,4.22,4.78,2.25,4,350,2,0,424,40,2,19,2.8
4.22,4.4,4.78,4.22,2,4.3,20,12,3,136,27,2,18,3.5
4.78,4.6,4.67,4.78,1.63,4.3,76,22,1,233,32,2,20,2.8
4.33,3.8,4.11,3.89,1.5,4,9,15,4,174,30,2,19,2.8
2.44,3.6,3.89,4.56,1.38,4.6,49,3,3,59,8,2,20,2.5
3.22,4.6,4.22,4.78,1.75,4.1,62,10,0,244,56,2,18,2.8
3.67,3.8,4,4.56,1.38,3.6,88,5,2,125,14,2,19,3.3
3.67,4.2,4.33,3.67,2.38,3.9,35,2,1,493,55,1,18,2.1
3.33,4.2,3.89,4.56,1.88,4.4,26,14,0,518,21,1,23,3.3
3.89,4.6,4.22,4.44,1.25,4.5,0,3,0,54,7,2,18,2.7
3.89,4,4.11,4.44,2.38,3.7,73,4,0,102,5,1,21,2
3.33,3.8,3.44,4.11,2,4.1,7,4,9,87,15,2,18,2.7
3.56,4.4,4.11,4.33,1.75,4.3,198,27,0,249,23,2,18,3.5
3.44,4.2,4,4.56,1.75,3.7,42,4,2,238,7,1,19,3.2
2.89,4.4,4.33,4.56,1.75,4.2,14,20,0,109,13,2,21,3.2
2.44,4.4,3.44,4.11,1.38,4.2,92,2,1,245,3,1,21,3.3
3.89,3.8,4.56,4,1.75,4.6,4,3,0,100,11,2,19,3
2.78,4.6,4.44,4.56,2,4.6,16,2,0,211,28,2,22,3
4,4.8,4,4.78,1,4.2,4,9,0,219,32,2,20,3.7
3.78,4.4,4,4.67,1.88,3.4,14,1,1,159,22,1,19,2.4
3.56,4.6,4.67,4.22,2,4,49,16,0,307,31,2,19,2.6
3,3.8,4.33,4.78,1.13,4.3,0,2,1,54,13,2,18,2.9
4.11,4.2,4.67,4.78,1.13,4.7,5,2,0,140,36,2,20,2.6
3.56,4.6,4,4.44,1.5,4.8,329,20,10,221,28,2,21,3.3
3.78,4.2,4.33,4.56,1.88,4.5,28,13,1,91,18,2,19,2.5
3.33,4.4,4.33,4.67,1.25,3.9,168,13,3,380,22,2,19,3.9
3.56,4.8,4.11,4.67,1.38,3.9,228,69,1,267,32,2,19,3.33
4.11,4.8,4.44,4.67,1.5,4,2,2,0,218,8,2,20,3.8
4.11,3.2,4.11,3.89,2.13,3.8,6,3,3,59,7,1,20,3.6
3.89,4.8,3.56,4.33,1.88,3.8,8,3,0,222,42,2,19,2.6
3,5,3.67,3.22,1.75,4.1,19,1,9,96,1,1,23,3.3
2.67,4.8,3.89,4.67,1.5,4.3,202,19,0,197,20,2,20,3.4
4,4.6,4.33,4.44,1.75,4.7,16,14,0,360,55,2,18,3
3.67,3.8,4.22,4.44,1.5,4.5,10,7,4,169,20,2,20,3.1
4,4.8,4.44,4.67,1.75,4.5,79,1,0,214,33,2,18,3.3
3.89,4.4,3.89,4.44,2.13,3.9,10,7,0,212,34,2,19,2.7
2.33,4.4,3.67,4.56,1.75,4.4,79,14,0,342,32,2,21,3.6
3.89,4.2,3.78,4.11,2.13,4,2,13,3,107,15,2,19,3.3
3.89,4.6,3.78,4.89,1,3.7,0,2,0,145,23,1,20,3.8
2.89,3.6,3,3.78,2,4.2,58,7,7,160,13,1,18,2.7
4.22,4,4.56,5,1.38,4.4,5,12,1,374,36,1,19,3
2.67,4,3.89,4.67,1.5,4.2,127,34,1,391,11,2,19,2.5
3.33,4.4,3.78,4.22,2.25,3.3,12,7,0,188,13,1,20,3
3.67,3.6,3.89,4.33,2.25,3.3,19,10,1,158,15,2,17,2.3
3.78,3.8,4.11,4.33,1.88,4.5,127,28,3,436,20,2,20,3.2
4,4.6,4,4.56,1.75,4.4,13,1,0,222,33,1,18,3.4
2.78,4,4.22,4.78,1.25,4.6,168,30,1,113,28,2,19,3.8
3.89,3.8,3.78,4.44,2.13,4,30,15,6,458,7,1,21,2.8
3.78,4,3.89,4.44,1.38,4,107,24,3,259,9,1,21,3.1
3.67,3.8,4,4.33,1.75,4.2,38,12,10,93,12,2,19,2.6
4,4.2,3.78,4.11,2,3.9,254,37,2,129,12,2,20,3.5
2.78,4.2,4.11,4.78,1.25,3.9,151,10,0,175,21,2,21,3.3
2.67,4.8,3.33,4.67,1.88,4.9,68,24,0,293,151,2,19,3.2
3.78,3.4,3.78,4.33,2.13,4.2,12,6,5,320,44,2,19,2.7
4.11,4.2,4.33,4.67,1.88,4.6,32,16,1,289,14,1,18,3
3.56,3.8,4.44,4.78,1.75,3.9,9,20,1,241,32,2,999,3.1
4.11,3.8,4.78,4.33,2.25,4.8,203,21,0,269,22,2,19,3
3.89,4.8,4,4.56,1.38,4.5,13,11,0,168,32,2,19,3.3
2.78,4.4,3.89,4.67,1.5,3.9,95,14,0,240,28,2,18,2.3
3.78,4.8,3.89,4.67,2,4.9,9,7,1,160,47,2,19,3.6
2.89,3.6,3.33,4.22,1.75,3.7,74,5,0,179,25,2,18,2.9
4.44,4,4.56,4.22,1.88,3.7,1,1,0,210,38,1,19,3.3
3.22,4,3.78,4.22,2.25,4.7,19,37,0,108,10,1,19,3.2
3.67,4.4,4.33,4.67,2,4.2,364,13,0,324,46,2,18,2.9
4.11,4.6,3.33,4.44,1.25,4,13,13,0,157,6,1,24,2.8
3.78,3.8,3.78,4.33,1.88,4.5,0,2,1,203,12,2,20,2.6
3.67,4.6,4.22,4.33,2,4.6,1,2,0,164,11,2,18,3.4
4.22,4,4,4.44,2.25,4.5,0,2,0,53,38,2,19,2.6
2.78,4.4,4.11,4.56,1.25,4,112,17,1,150,18,2,18,2.7
3.33,4.4,3.89,4.44,2,4.4,15,5,1,190,56,2,20,3.3
2.89,3.8,3.89,4.33,2.13,3.8,49,1,0,245,11,1,20,3.7
3,4.2,3.78,4.56,2.13,4.5,30,5,4,57,2,2,22,3.2
2.67,5,3,4.78,1.63,4,32,3,0,322,28,2,18,3.9
3.44,4,4.11,4.33,2,4.7,3,6,3,188,12,1,20,2.9
3.33,4,3.56,4.22,2.13,4.2,76,3,2,177,18,2,21,2.7
3.44,4.2,3.78,4.44,2.38,4.3,87,37,2,277,17,2,22,3.6
3.89,3.4,4.33,4.56,1.63,3.9,104,11,0,254,30,1,18,2.9
4,4,4.11,4,2.13,3.9,19,11,0,208,14,2,19,2.9
3.78,4.2,4.44,4.56,2,3.9,30,2,0,167,16,1,19,3.1
3.22,5,3.89,3.78,2.5,4,6,3,0,54,9,2,19,3.4
3.89,4.2,4,4.78,1.63,4.4,20,14,0,310,39,2,18,3
4.11,4,4,4.67,2.13,4,0,15,0,165,29,2,19,2.9
3.11,3.8,4,4.56,1.63,3.9,51,13,1,433,33,1,22,3
3.89,4.4,4.44,4.67,1.75,4.2,1,1,0,80,0,1,22,2.8
4,4.4,4.56,4,1.75,4,160,18,3,519,22,2,21,3.3
3,4.2,4,4.22,1.75,4,5,9,1,305,37,2,20,2.6
3.33,4.4,4,4.22,1.63,3.5,31,12,0,402,59,2,19,3.2
3.44,4.4,3.56,4.89,1.63,4.2,10,2,0,84,24,2,21,3.1
4.44,3.8,4.67,4.78,1.5,4.3,6,19,8,191,20,2,20,2
4.22,4.4,4.67,5,1,4.5,78,15,5,591,32,2,22,2.6
3.56,4.4,4,4.44,1.75,3.9,288,1,0,190,34,2,19,2.9
3.56,3.8,4.11,5,1.25,4.7,104,3,9,201,7,1,20,3
3.67,3.8,4,4.56,1.88,4.5,23,75,1,60,4,2,19,2.7
3.44,4.2,4.44,4.67,1.5,4.4,76,29,2,185,19,2,18,3.3
3.22,4.8,3.78,2.89,2.75,3.7,37,8,0,466,133,2,18,2.3
3,3.8,4.22,4.67,1.38,3.7,3,9,0,226,37,2,18,2.5
3.11,4.6,3.33,4.56,1.75,3.9,2,1,0,43,0,1,20,3.2
4,4.2,4.56,4.44,1.25,4.6,7,7,7,115,18,2,18,3.8
3.89,4.4,4.11,4.33,2.13,3.9,57,15,0,142,14,1,21,3.4
3.89,4.4,4,4.22,1.38,4.2,39,1,0,132,22,2,22,3.5
3.11,5,4.56,5,2,4.7,23,1,0,73,9,2,19,2.5
4.11,4,3.89,4.33,1.38,4.4,297,20,0,351,66,2,20,3.3
4,4.6,4.56,4.67,1.88,4.8,54,13,0,487,30,2,18,3.3
2.22,4,2.67,4.11,1.75,4.3,19,45,1,297,21,2,21,2.6
3.33,3.8,4,4.33,1.88,4.1,0,7,3,124,21,2,20,2.9
3.11,3.8,3.44,4.33,1.75,4.6,35,14,0,163,14,2,18,2.2
3,4.4,4,4.78,2,4.4,4,20,0,158,296,2,20,3.2
3.78,4,4.33,4.22,1.75,4.2,2,2,7,80,9,2,19,3.1
2.33,4.6,2.56,4.78,1.5,3.5,3,1,1,49,4,1,19,3
3.78,3.6,3.78,4.33,2,3.8,1,1,0,90,8,2,18,2.8
3,3.6,3.33,4.67,1.63,4.3,48,9,0,84,14,1,19,2.2
2.33,4.2,2.67,3.78,2.63,3.3,0,4,0,117,64,2,18,3.4
3.11,5,3.44,3.78,1.63,3,21,6,0,210,37,2,20,2.7
3.56,4.2,4.11,4.67,1.25,4.3,73,1,0,63,14,2,22,3.4
4.22,4,4.22,3.44,1.5,3.9,6,6,2,373,12,2,19,2.2
3.67,4.6,3.89,3.89,2.63,4.4,7,16,1,342,95,2,19,3.5
3.67,4.8,3.89,4.11,1.25,4.8,9,3,0,219,26,1,18,3.1
3.11,4.4,4.44,4.44,1.5,4.8,43,8,4,163,9,1,20,3.7
3.67,4.2,4.22,4.33,1.88,4.6,6,2,2,701,35,2,18,3.2
3.78,4.2,4.22,4.78,1.63,4.5,33,13,0,118,14,2,20,2.8
4,4,3.89,4.44,1.88,4.6,5,8,0,454,29,2,20,2.8
4.22,4.8,4.56,3.44,1.88,4,161,1,0,366,9,1,18,3.4
4.33,4.2,3.89,4.67,2,4.4,0,2,0,122,38,2,17,2.9
3.44,4.6,4.56,4.78,1.88,4.7,37,26,0,475,58,2,18,3.1
3.67,4.2,4.11,4.22,1.63,4.1,28,9,0,148,14,2,20,3.8
3.78,4.2,3.67,4.33,1.13,4.7,15,2,2,305,22,1,20,3.9
4.78,5,4.78,4.78,1.38,4.8,73,2,0,641,14,2,21,2.9
4.33,4.8,4.78,4.78,1.38,4.7,52,3,0,130,34,2,20,3.6
3.67,4.6,3.67,4.22,2,4.2,160,13,0,202,14,2,17,3.3
3.22,4,4.33,4.67,2,3.8,0,2,0,227,21,2,20,3.1
2.89,4.2,3.78,4.67,1.5,4.4,32,22,1,140,12,2,21,3.5
4.11,4.4,4.22,4.56,2,3.5,3,9,0,145,16,2,21,2.7
4,4.2,4.67,4.22,1.63,4.7,58,2,0,154,7,1,24,3.7
2.44,4.6,3.89,5,1.38,4.8,91,19,3,553,42,2,19,3.8
3.78,5,4.56,4.44,2.25,4.8,0,21,0,575,80,2,18,3.6
4.22,3,4.22,3.78,2,2.9,191,17,9,165,11,2,22,3
3.33,3.8,3.78,4.11,1.88,3.3,52,1,1,84,10,2,21,3.3
3.44,4.2,4,4.67,1.5,3.5,6,9,0,357,46,2,19,3.2
2.67,4.4,4.11,4.67,1.75,4.1,308,4,1,333,59,2,19,2.4
4.44,4.2,4.44,3.78,1.75,4.7,317,28,3,521,38,2,18,2.6
3.78,4.4,4.11,4.44,1.63,4.1,23,12,0,97,11,2,21,3.5
2.67,4.2,3.56,3.89,2.5,3.2,1,1,0,74,8,1,19,3.3
2.78,4,3.56,4.78,1.5,4.2,36,4,0,218,96,1,19,3.7
3.22,4.4,3.44,4.56,1.88,4.2,181,5,0,200,21,2,19,3
3.44,3.8,3.56,3.44,2.5,4.4,37,14,0,869,17,1,19,2.5
3.89,4,3.89,4,1.88,4.1,16,1,3,444,40,2,20,2.5
3.56,4.6,4.33,4.89,1.38,4.2,45,11,7,128,11,2,20,2.1
1.89,4.8,2.56,4.78,1.63,4.4,0,11,0,131,16,2,19,3.7
3.89,4.2,4.11,5,1.38,4.8,32,24,1,62,10,2,19,2.4
3.78,4.6,4.11,4.67,1.5,4.4,14,5,0,70,3,1,18,3.4
3.56,4.4,3.89,4.78,1.75,4.8,38,8,0,74,76,1,19,3.9
4.22,4.8,4.56,4.67,1.38,4.9,37,15,0,195,20,2,21,3.3
3.11,3.6,3.44,4.22,1.13,4.2,48,5,16,350,18,2,20,2.7
3.22,4.6,4.44,4,1.38,4.6,80,8,1,260,17,2,19,3.4
2.44,3.6,3.78,4.67,1.88,3.5,2,5,2,215,15,1,20,3.1
4.22,4.6,4.67,4.89,1.63,4.2,18,8,2,107,8,2,19,2.5
3.56,4.6,4.89,4.89,1.88,4.6,18,6,0,93,8,2,20,3.2
3.44,5,3.78,4.89,1.38,4.3,4,4,0,177,21,2,20,3.4
3.44,4.4,3.56,3.78,1.88,4,1,13,0,171,23,2,18,2.7
3.33,4.4,3.44,4.67,1.25,4.1,221,8,4,209,19,1,19,3
4.56,3.6,4.44,4.78,2,4.7,42,6,7,229,8,1,19,3.2
2.78,4.2,4.44,4.78,1,4.4,2,2,0,37,13,1,19,3
